"","file_id","subID","condition","age_group","Hz","Fp1","Fz","F3","F7","FT9","FC5","FC1","C3","T7","TP9","CP5","CP1","Pz","P3","P7","O1","Oz","O2","P4","P8","TP10","CP6","CP2","Cz","C4","T8","FT10","FC6","FC2","F4","F8","Fp2"
"1","oa01_ec.csv","oa01","ec.csv","oa",0.997,24.6043,11.8329,16.5189,18.8309,NA,22.2924,20.0147,13.8168,39.6205,15.5681,13.3275,29.3927,20.0165,20.0058,13.3425,40.0042,65.2376,23.492,10.1498,18.6705,9.6496,14.9888,12.6408,12.115,48.6162,12.6891,16.0658,10.603,11.6458,19.1478,29.323,14.9305
"2","oa01_ec.csv","oa01","ec.csv","oa",1.994,3.0283,3.7846,4.0779,3.2395,NA,4.5454,5.4837,4.0938,8.2678,3.8699,3.8706,6.7059,5.4007,5.6467,3.7754,8.8091,8.2889,4.2904,4.4366,3.1849,1.8653,4.6265,5.2772,5.036,5.649,2.182,2.5705,2.2605,4.4698,4.5669,3.0399,1.8419
"3","oa01_ec.csv","oa01","ec.csv","oa",2.991,1.1895,2.2697,2.2105,1.4187,NA,2.118,2.9635,2.4337,3.2218,1.9824,2.4047,4.1089,3.291,2.9867,2.2737,4.6937,4.2473,2.1905,2.664,1.6101,0.8513,2.0153,3.0481,3.1361,2.1621,0.8036,0.916,1.226,2.5144,2.1215,1.1281,0.7567
"4","oa01_ec.csv","oa01","ec.csv","oa",3.988,0.8209,1.5906,1.5326,0.9582,NA,1.5458,1.9821,1.6121,2.1019,1.3303,1.5642,2.6438,2.0351,1.9022,1.3997,3.0759,2.7831,1.2872,1.6083,0.9472,0.5108,1.3183,1.8859,2.0113,1.469,0.5038,0.546,0.8618,1.7507,1.4073,0.7265,0.5294
"5","oa01_ec.csv","oa01","ec.csv","oa",4.985,0.5749,1.0981,1.1093,0.668,NA,1.033,1.4339,1.1243,1.3463,0.7321,0.9747,1.6208,1.2005,1.1432,0.7728,1.8172,1.4911,0.8029,0.8888,0.5564,0.2823,0.826,1.0854,1.2762,0.9023,0.2585,0.2692,0.5525,1.113,0.9249,0.4673,0.3382
"6","oa01_ec.csv","oa01","ec.csv","oa",5.982,0.4192,0.8609,0.8391,0.5137,NA,0.7859,1.0836,0.7749,0.9939,0.4783,0.6644,1.1346,0.7094,0.7074,0.5414,1.3178,1.2166,0.615,0.6076,0.4341,0.2054,0.5291,0.7768,0.9864,0.6732,0.191,0.1995,0.4019,0.9194,0.7167,0.3725,0.2711
"7","oa01_ec.csv","oa01","ec.csv","oa",6.979,0.2893,0.5475,0.5334,0.3415,NA,0.5431,0.6713,0.4826,0.7693,0.3264,0.4078,0.727,0.5145,0.4776,0.325,0.9226,0.8696,0.3817,0.3935,0.2742,0.1431,0.4185,0.5035,0.6481,0.4748,0.1511,0.155,0.3224,0.6207,0.4906,0.2898,0.1895
"8","oa01_ec.csv","oa01","ec.csv","oa",7.976,0.2843,0.5562,0.5605,0.424,NA,0.5512,0.6589,0.5074,0.8092,0.6035,0.4886,0.7091,0.5068,0.4876,0.4961,0.882,0.8556,0.4178,0.3686,0.2642,0.1596,0.4015,0.478,0.6009,0.4683,0.1529,0.1491,0.3378,0.6127,0.4958,0.2533,0.2228
"9","oa01_ec.csv","oa01","ec.csv","oa",8.973,0.274,0.5627,0.577,0.4483,NA,0.6233,0.694,0.5472,0.7711,0.5928,0.4882,0.8094,0.5786,0.5301,0.4907,0.8212,0.9069,0.4529,0.4303,0.2919,0.1762,0.4124,0.5555,0.6543,0.4797,0.1414,0.1373,0.3531,0.644,0.505,0.2877,0.244
"10","oa01_ec.csv","oa01","ec.csv","oa",9.97,0.2396,0.4978,0.5208,0.4458,NA,0.5001,0.5938,0.4511,0.6708,0.4244,0.3839,0.6753,0.4974,0.4349,0.3981,0.7297,0.7759,0.4219,0.417,0.3047,0.1875,0.4532,0.4932,0.5727,0.4428,0.1346,0.1454,0.3265,0.5567,0.4446,0.2801,0.1994
"11","oa01_ec.csv","oa01","ec.csv","oa",10.967,0.2356,0.4887,0.5222,0.4862,NA,0.493,0.5956,0.5248,0.5811,0.4879,0.4845,0.6794,0.5652,0.5493,0.5205,0.8858,0.9024,0.5414,0.5519,0.421,0.2438,0.4846,0.58,0.6153,0.4797,0.1472,0.151,0.3256,0.5674,0.441,0.2732,0.1948
"12","oa01_ec.csv","oa01","ec.csv","oa",11.964,0.258,0.5355,0.5604,0.5631,NA,0.6092,0.6121,0.6025,0.6959,0.6596,0.6252,0.7128,0.6168,0.6417,0.665,0.8162,0.9308,0.7191,0.6835,0.5925,0.4374,0.5823,0.6297,0.6239,0.5524,0.1474,0.1572,0.3506,0.5991,0.5118,0.2882,0.254
"13","oa01_ec.csv","oa01","ec.csv","oa",12.961,0.3191,0.5833,0.6274,0.5657,NA,0.6635,0.6975,0.673,0.8134,0.7649,0.7319,0.8111,0.667,0.7745,0.9284,1.0309,0.9378,0.8974,0.723,0.665,0.5904,0.5698,0.6516,0.6586,0.578,0.162,0.1572,0.376,0.6394,0.5693,0.3217,0.3081
"14","oa01_ec.csv","oa01","ec.csv","oa",13.958,0.3154,0.5672,0.6029,0.5613,NA,0.6786,0.672,0.6346,0.8894,0.7461,0.7301,0.7807,0.677,0.7403,0.9886,1.0838,1.0779,1.0931,0.6679,0.7009,0.601,0.4984,0.6252,0.6333,0.5397,0.1748,0.1674,0.401,0.614,0.5215,0.3845,0.3032
"15","oa01_ec.csv","oa01","ec.csv","oa",14.955,0.2766,0.4508,0.4898,0.4626,NA,0.5735,0.5555,0.5358,0.8951,0.6933,0.6097,0.6702,0.5848,0.6153,0.728,0.8979,0.9278,0.7963,0.5544,0.5092,0.4927,0.4324,0.5583,0.5458,0.4308,0.151,0.1374,0.3072,0.5019,0.4117,0.3143,0.2266
"16","oa01_ec.csv","oa01","ec.csv","oa",15.952,0.2181,0.4254,0.4283,0.3839,NA,0.515,0.5061,0.471,0.9079,0.7187,0.5328,0.5449,0.496,0.5041,0.6612,0.6966,0.7249,0.5036,0.4202,0.3717,0.4374,0.3988,0.4678,0.4859,0.3928,0.1562,0.1445,0.2702,0.4411,0.3947,0.2456,0.2157
