"","NA_Frame","NA_Sub Frame","DDH25:RASIS_X","DDH25:RASIS_Y","DDH25:RASIS_Z","DDH25:LASIS_X","DDH25:LASIS_Y","DDH25:LASIS_Z","DDH25:RPSIS_X","DDH25:RPSIS_Y","DDH25:RPSIS_Z","DDH25:LPSIS_X","DDH25:LPSIS_Y","DDH25:LPSIS_Z","DDH25:RILCR_X","DDH25:RILCR_Y","DDH25:RILCR_Z","DDH25:LILCR_X","DDH25:LILCR_Y","DDH25:LILCR_Z","DDH25:RGRT_X","DDH25:RGRT_Y","DDH25:RGRT_Z","DDH25:RLKNE_X","DDH25:RLKNE_Y","DDH25:RLKNE_Z","DDH25:RMKNE_X","DDH25:RMKNE_Y","DDH25:RMKNE_Z","DDH25:RSPTH_X","DDH25:RSPTH_Y","DDH25:RSPTH_Z","DDH25:RSATH_X","DDH25:RSATH_Y","DDH25:RSATH_Z","DDH25:RIPTH_X","DDH25:RIPTH_Y","DDH25:RIPTH_Z","DDH25:RIATH_X","DDH25:RIATH_Y","DDH25:RIATH_Z","DDH25:RTTUB_X","DDH25:RTTUB_Y","DDH25:RTTUB_Z","DDH25:RLML_X","DDH25:RLML_Y","DDH25:RLML_Z","DDH25:RMML_X","DDH25:RMML_Y","DDH25:RMML_Z","DDH25:RSPSK_X","DDH25:RSPSK_Y","DDH25:RSPSK_Z","DDH25:RSASK_X","DDH25:RSASK_Y","DDH25:RSASK_Z","DDH25:RIPSK_X","DDH25:RIPSK_Y","DDH25:RIPSK_Z","DDH25:RIASK_X","DDH25:RIASK_Y","DDH25:RIASK_Z","DDH25:RICAL_X","DDH25:RICAL_Y","DDH25:RICAL_Z","DDH25:RD5MT_X","DDH25:RD5MT_Y","DDH25:RD5MT_Z","DDH25:RD1MT_X","DDH25:RD1MT_Y","DDH25:RD1MT_Z","DDH25:RTOE_X","DDH25:RTOE_Y","DDH25:RTOE_Z","DDH25:RTIP_X","DDH25:RTIP_Y","DDH25:RTIP_Z","DDH25:LGRT_X","DDH25:LGRT_Y","DDH25:LGRT_Z","DDH25:LLKNE_X","DDH25:LLKNE_Y","DDH25:LLKNE_Z","DDH25:LMKNE_X","DDH25:LMKNE_Y","DDH25:LMKNE_Z","DDH25:LSPTH_X","DDH25:LSPTH_Y","DDH25:LSPTH_Z","DDH25:LSATH_X","DDH25:LSATH_Y","DDH25:LSATH_Z","DDH25:LIPTH_X","DDH25:LIPTH_Y","DDH25:LIPTH_Z","DDH25:LIATH_X","DDH25:LIATH_Y","DDH25:LIATH_Z","DDH25:LTTUB_X","DDH25:LTTUB_Y","DDH25:LTTUB_Z","DDH25:LLML_X","DDH25:LLML_Y","DDH25:LLML_Z","DDH25:LMML_X","DDH25:LMML_Y","DDH25:LMML_Z","DDH25:LSPSK_X","DDH25:LSPSK_Y","DDH25:LSPSK_Z","DDH25:LSASK_X","DDH25:LSASK_Y","DDH25:LSASK_Z","DDH25:LIPSK_X","DDH25:LIPSK_Y","DDH25:LIPSK_Z","DDH25:LIASK_X","DDH25:LIASK_Y","DDH25:LIASK_Z","DDH25:LICAL_X","DDH25:LICAL_Y","DDH25:LICAL_Z","DDH25:LD5MT_X","DDH25:LD5MT_Y","DDH25:LD5MT_Z","DDH25:LD1MT_X","DDH25:LD1MT_Y","DDH25:LD1MT_Z","DDH25:LTOE_X","DDH25:LTOE_Y","DDH25:LTOE_Z","DDH25:LTIP_X","DDH25:LTIP_Y","DDH25:LTIP_Z","DDH25:C7_X","DDH25:C7_Y","DDH25:C7_Z","DDH25:S1_X","DDH25:S1_Y","DDH25:S1_Z","DDH25:SN_X","DDH25:SN_Y","DDH25:SN_Z","DDH25:RBAK_X","DDH25:RBAK_Y","DDH25:RBAK_Z","DDH25:RPHD_X","DDH25:RPHD_Y","DDH25:RPHD_Z","DDH25:LPHD_X","DDH25:LPHD_Y","DDH25:LPHD_Z","DDH25:RAHD_X","DDH25:RAHD_Y","DDH25:RAHD_Z","DDH25:LAHD_X","DDH25:LAHD_Y","DDH25:LAHD_Z","DDH25:RAC_X","DDH25:RAC_Y","DDH25:RAC_Z","DDH25:RELB_X","DDH25:RELB_Y","DDH25:RELB_Z","DDH25:RMELB_X","DDH25:RMELB_Y","DDH25:RMELB_Z","DDH25:RAUPA_X","DDH25:RAUPA_Y","DDH25:RAUPA_Z","DDH25:RPUPA_X","DDH25:RPUPA_Y","DDH25:RPUPA_Z","DDH25:RFRA_X","DDH25:RFRA_Y","DDH25:RFRA_Z","DDH25:RRAD_X","DDH25:RRAD_Y","DDH25:RRAD_Z","DDH25:RULN_X","DDH25:RULN_Y","DDH25:RULN_Z","DDH25:RFIN_X","DDH25:RFIN_Y","DDH25:RFIN_Z","DDH25:LAC_X","DDH25:LAC_Y","DDH25:LAC_Z","DDH25:LELB_X","DDH25:LELB_Y","DDH25:LELB_Z","DDH25:LMELB_X","DDH25:LMELB_Y","DDH25:LMELB_Z","DDH25:LAUPA_X","DDH25:LAUPA_Y","DDH25:LAUPA_Z","DDH25:LPUPA_X","DDH25:LPUPA_Y","DDH25:LPUPA_Z","DDH25:LFRA_X","DDH25:LFRA_Y","DDH25:LFRA_Z","DDH25:LRAD_X","DDH25:LRAD_Y","DDH25:LRAD_Z","DDH25:LULN_X","DDH25:LULN_Y","DDH25:LULN_Z","DDH25:LFIN_X","DDH25:LFIN_Y","DDH25:LFIN_Z","DDH25:LFIN_NA"
"4","21","0","470.287231","1117.210571","958.776917","227.769150","1125.271606","933.551697","392.787476","894.220886","969.798340","278.565094","900.495056","961.490112","495.326538","1012.596863","1081.932373","182.664413","1028.124878","1045.650146","544.275085","1025.863770","888.764221","475.943512","1122.604980","482.315979",NA,NA,NA,"509.868744","1037.124146","655.767700","527.013428","1107.481567","675.375122","484.144379","1069.923096","549.943420","500.805084","1142.161621","567.555420","406.056915","1169.813599","392.952637","407.596283","949.622803","106.452843",NA,NA,NA,"467.759033","1029.681030","399.128845","473.956879","1101.528198","360.542084","443.246918","984.834045","287.712677","451.579865","1051.314575","253.783432","352.318939","862.769348","61.677986","436.828735","1079.277832","37.264816","322.538727","1084.020142","40.084633","376.837372","1114.494507","53.677807","355.856903","1149.332275","46.738747","149.517548","1040.425171","858.739502","182.530258","1115.042236","469.017120",NA,NA,NA,"141.658722","1102.139038","704.058411","171.579193","1163.279053","726.173767","159.269440","1126.439819","591.269897","189.258942","1187.442383","612.078186","239.507797","1101.078979","369.240845","223.835205","760.206482","267.857208",NA,NA,NA,"202.344498","986.513367","466.726074","175.929596","1025.476929","401.115387","212.609619","884.171814","399.866394","185.796112","925.237854","338.482239","277.633972","677.158752","301.836639","185.896988","769.609619","117.768738","289.284393","773.427795","102.127098","245.873962","807.045898","93.586739","258.114960","818.683838","64.116600","345.694763","1012.729736","1506.117310","340.514923","924.813049","1060.890259","348.908112","1141.192505","1429.372681","487.699127","993.835144","1469.688843","410.646667","1045.869995","1607.480591","270.544647","1048.905151","1603.470825","411.795990","1157.368164","1681.244019","278.868805","1165.747681","1681.090210","538.961670","1070.891235","1466.519897","681.223694","987.842529","1184.714111","633.280762","930.079163","1185.885986","598.153870","1075.009399","1326.428223","588.922180","944.558350","1299.419678","616.821045","1102.819580","1131.099731","519.754028","1161.844116","1093.862915","571.675232","1162.401855","1048.052368","500.234131","1214.967407","1025.574707","168.586578","1090.099731","1465.126831","62.091042","949.746033","1185.560303","131.926590","915.341370","1183.588745","97.378304","1046.808472","1313.287598","142.661072","935.287170","1291.939087","108.752350","1086.946045","1177.126587","200.536667","1165.628296","1187.379761","156.427841","1180.162842","1136.193359","191.779205","1247.909790","1188.866577",NA
"5","22","0","468.662842","1116.945923","957.928162","226.403549","1123.179810","934.045044","395.105042","893.075439","970.285095","280.541626","898.495422","962.534668","496.116119","1013.731140","1081.676025","182.151031","1025.970093","1045.910400","544.197510","1026.645752","889.030945","475.867035","1115.621338","481.654144",NA,NA,NA,"510.297241","1032.725952","656.733826","526.956970","1103.080811","675.050598","484.823242","1062.998657","550.217407","501.663574","1135.902710","567.216064","406.770630","1160.617676","391.133453","407.543976","937.501709","107.018341",NA,NA,NA,"467.046326","1020.438782","399.246338","474.322296","1091.854126","359.710663","442.668304","972.968140","288.606720","451.680450","1039.743164","253.426071","353.076294","849.402100","62.989033","436.836273","1066.570923","37.068489","322.602020","1071.286987","39.944473","376.853607","1101.992798","53.487812","355.692230","1136.739014","46.481762","149.053421","1038.280396","858.907349","183.442474","1122.207642","470.477356",NA,NA,NA,"141.529877","1104.441406","705.527161","171.869186","1165.010132","728.550720","158.580536","1130.682007","593.118042","189.201675","1191.218994","614.717773","239.931122","1110.031738","371.198212","223.457642","771.107910","263.408142",NA,NA,NA,"202.133377","993.175110","466.314728","176.310532","1034.210449","401.366638","213.569199","892.181824","398.181091","185.890991","935.082031","337.194611","277.576202","686.685364","294.075745","183.952133","785.926575","114.164177","289.529083","789.709778","98.071098","245.367554","823.693298","90.387375","257.221741","836.576050","61.461830","345.988251","1012.502441","1506.569092","341.601257","924.168762","1061.375244","347.969666","1140.703979","1430.006104","488.954437","995.835754","1470.502319","409.582153","1045.824585","1608.170044","273.137299","1047.407349","1603.363525","411.140076","1157.567139","1681.714478","278.273865","1165.689453","1681.467163","538.592896","1073.343140","1467.470337","682.448730","993.276550","1185.791992","635.787659","934.145752","1187.292114","598.566223","1079.186279","1327.856934","591.761841","948.964722","1301.464722","615.572815","1106.709961","1132.028076","517.510864","1163.569580","1094.397949","569.490845","1164.911499","1048.638550","496.432434","1214.889404","1024.620117","167.756195","1086.491699","1465.261719","65.020096","940.124817","1187.287109","135.923264","909.321106","1184.413086","97.541634","1039.584106","1313.847290","146.340881","929.751587","1293.447754","108.799988","1079.005859","1176.358154","197.957062","1160.133179","1186.437988","153.892792","1172.645508","1134.726685","188.514969","1242.269653","1185.446411",NA
"6","23","0","465.025726","1119.577881","956.087280","225.179260","1121.297241","934.590332","397.468933","892.507385","971.278259","283.057007","896.978210","963.012146","496.851837","1014.981506","1081.090210","181.925797","1023.898132","1046.094482","544.218201","1026.833130","889.496521","475.238129","1108.568359","480.901489",NA,NA,NA,"509.621796","1027.097046","657.141357","525.999023","1098.717407","674.699646","483.716949","1057.398560","550.195312","501.672729","1129.654053","566.486084","407.644135","1151.374390","389.547882","407.758087","925.519653","107.797562",NA,NA,NA,"467.019196","1010.349365","400.137085","474.180176","1081.689941","359.410278","441.868286","963.889709","288.879578","451.927704","1028.875610","253.727615","353.300415","837.493835","63.872433","436.997101","1053.876709","36.956524","322.784271","1058.349243","39.758854","376.564880","1089.124023","52.774521","355.840973","1124.000854","46.307121","148.823059","1036.619263","859.138000","183.715515","1129.200928","472.461151",NA,NA,NA,"141.099762","1107.298218","707.987183","172.166260","1166.841797","731.331360","159.066559","1134.286743","596.044739","189.236282","1194.789673","617.914368","240.585602","1118.845337","373.466217","223.786346","781.956665","258.612396",NA,NA,NA,"201.815460","999.939148","465.776367","176.838730","1042.276367","401.785004","213.294067","900.304199","395.669586","186.194260","944.742554","335.177673","277.624054","696.255066","285.939972","183.444946","802.501953","110.626472","289.785248","807.212646","94.483765","244.790619","841.016785","87.732254","256.377960","854.815430","59.120285","346.289001","1012.321228","1507.185425","342.764160","923.748657","1061.949097","346.743011","1140.219482","1431.013062","489.954956","997.802124","1471.443481","409.198120","1046.218628","1608.820068","270.310333","1048.336548","1604.632080","410.655334","1157.917480","1682.548096","277.654022","1165.597900","1682.119385","538.086975","1076.284424","1468.755493","683.653870","998.482544","1187.046997","637.836182","939.034302","1188.801636","598.588684","1083.375854","1329.269409","594.426270","952.794922","1303.625854","614.375183","1110.371094","1133.360840","515.152100","1165.029785","1095.230713","567.116699","1167.588501","1049.712769","493.036804","1215.191162","1024.291870","166.902832","1083.171631","1465.780396","68.085800","930.518616","1189.337891","140.191711","902.821838","1186.437256","97.740517","1032.439087","1314.927002","150.277283","923.863770","1295.326904","108.455612","1070.752197","1176.429688","195.463455","1154.360718","1185.969849","151.736755","1164.662109","1133.500244","184.312180","1236.857544","1183.053711",NA
"7","24","0","462.286041","1120.209595","955.602234","223.959778","1119.552734","935.358337","399.710785","892.693237","973.062195","285.004059","895.675842","964.199646","497.537720","1017.035828","1080.624878","181.914963","1021.961182","1046.554932","544.156189","1026.812256","890.039490","474.452148","1101.421387","480.110168",NA,NA,NA,"509.482391","1022.429565","658.170410","526.018799","1093.976318","674.448914","484.200165","1050.987061","550.843079","500.840179","1123.163940","565.587769","408.366150","1141.939819","388.133484","407.812073","913.340515","108.600945",NA,NA,NA,"466.108124","1000.844360","400.742889","474.309265","1071.440796","359.011566","441.506989","952.913391","289.911652","451.943878","1017.280701","254.012848","352.144226","824.817505","64.779373","437.013611","1041.111084","36.806087","322.877930","1045.710938","39.706676","377.077881","1076.688354","52.690720","356.080139","1111.397949","45.931477","148.548111","1035.293213","859.471130","184.387146","1135.642700","474.836090",NA,NA,NA,"141.161850","1109.267334","709.903870","172.431335","1168.473755","734.441284","158.821030","1138.431641","598.584900","189.571823","1198.367920","621.913391","241.675964","1127.291626","375.858032","223.315521","793.065613","253.540573",NA,NA,NA,"201.729813","1006.241699","465.769836","177.236740","1050.286133","402.431915","214.076019","908.079407","393.660767","186.571884","954.563904","333.636078","277.887268","706.400146","277.158661","183.252777","819.308655","106.613838","288.002899","824.002319","88.834358","244.130646","858.540955","84.887032","256.223419","872.612976","56.090195","346.652527","1012.110596","1508.086792","344.122345","923.253845","1062.783813","345.307434","1139.864868","1432.252075","490.810242","999.561768","1472.640747","409.050781","1046.528076","1610.098145","270.121613","1048.109253","1605.732788","410.066010","1158.189331","1683.666748","277.067749","1165.549316","1683.081909","537.494751","1079.088745","1470.211060","684.749634","1003.501648","1188.646118","640.112183","943.614624","1190.688354","598.091675","1087.543823","1330.800659","597.097473","956.832031","1305.954956","613.233032","1113.680908","1134.602295","512.823425","1166.450439","1096.660034","564.787964","1169.965820","1051.126587","489.586212","1215.534790","1024.840698","166.070328","1079.509644","1466.522461","71.171494","921.218262","1191.544434","144.259003","896.435425","1189.219849","97.757652","1025.254028","1316.257935","153.632263","919.444275","1298.055908","108.069138","1062.276245","1176.810425","193.006729","1148.190674","1185.677979","149.353058","1157.057007","1133.388794","180.803757","1230.703247","1180.792358",NA
"8","25","0","461.070679","1119.696533","956.424377","222.901123","1118.037720","936.386841","401.804474","892.642212","974.936523","286.920624","894.479187","965.042664","497.974548","1018.527283","1080.161133","181.670410","1020.387268","1047.466064","543.877380","1026.510498","890.870178","473.683197","1093.629272","479.513916",NA,NA,NA,"509.479095","1017.148987","659.629211","525.525696","1089.456543","674.645630","484.626587","1043.733032","551.491028","500.981445","1116.655151","565.237610","409.063904","1132.337769","387.206421","408.061676","901.523376","109.747841",NA,NA,NA,"464.959564","991.366760","401.033691","474.129730","1060.976318","359.056274","441.290192","942.103027","291.065765","452.390625","1006.498352","254.700012","351.814270","812.932190","65.793671","437.014587","1028.286011","36.536068","322.933685","1033.199219","39.703075","376.948486","1064.092041","52.579773","355.916809","1098.677124","45.748238","148.424103","1033.790039","860.243286","185.736343","1142.025513","477.925995",NA,NA,NA,"140.818924","1111.462158","712.570374","172.592789","1169.985962","737.901794","158.189636","1142.875977","601.923889","189.776215","1201.640991","625.809570","241.812073","1136.240845","379.204498","223.720123","804.848206","247.837036",NA,NA,NA,"201.458588","1012.921692","465.250336","177.571030","1058.379883","403.451324","212.702545","916.634705","389.743622","187.417480","964.131714","332.242706","277.925995","717.073242","267.992096","182.768875","836.609558","102.403870","289.297272","842.894836","85.464951","243.619186","876.757874","82.067322","253.977325","893.552246","56.437637","347.092377","1012.008179","1509.235962","345.408417","922.799866","1063.568726","343.628265","1139.554443","1433.661255","491.731232","1001.524658","1474.219849","408.416107","1046.458130","1611.271240","269.886871","1047.918091","1607.005737","409.990326","1160.058716","1686.370850","276.379578","1165.348999","1684.356934","536.822937","1081.718872","1471.783813","685.672913","1008.401489","1190.327026","641.645752","947.332031","1192.615601","597.342102","1091.769775","1332.576050","599.929993","960.458008","1308.363281","612.191467","1116.960327","1136.341797","510.411743","1167.682251","1098.207520","562.378906","1172.162720","1052.867920","486.172150","1215.524048","1025.625732","165.163681","1076.235962","1467.737793","74.279976","912.366516","1194.196533","148.309021","890.143921","1191.985107","97.897270","1018.158081","1318.218628","157.188309","914.945557","1300.495972","106.643715","1053.547852","1177.847168","190.967621","1142.151489","1186.180908","147.315994","1149.203735","1133.511597","177.366241","1224.752808","1179.517090",NA
"9","26","0","460.070496","1120.004028","957.108398","221.974762","1116.689575","937.792053","403.272278","892.589661","977.231506","288.221375","893.400146","966.788147","498.140442","1021.324280","1080.127563","182.260040","1018.575317","1048.677612","543.682800","1026.137817","891.818420","473.294464","1084.322998","479.363617",NA,NA,NA,"509.346649","1012.640015","661.047668","524.517090","1085.182373","674.906250","484.681702","1035.468140","552.894958","500.648315","1109.960083","565.006226","409.650238","1122.612061","386.472107","408.312927","889.387390","110.730690",NA,NA,NA,"464.080261","981.790100","401.964813","473.993988","1050.932007","359.279785","441.155548","931.856873","292.049896","452.815430","995.901611","255.381378","351.355865","801.038635","67.806007","437.242859","1015.757446","36.503521","322.742615","1020.611145","39.846306","376.974884","1051.317505","52.254749","355.580048","1085.821899","45.426571","148.205841","1032.506104","860.972778","186.692444","1148.261841","480.867096",NA,NA,NA,"140.522690","1113.352051","715.215454","172.608734","1171.302856","741.692810","158.319763","1146.729858","605.369141","190.023300","1204.818481","630.198059","241.074097","1145.398804","383.081573","224.058884","816.357910","242.089020",NA,NA,NA,"201.808014","1018.343689","465.763733","178.283905","1065.933228","404.823853","215.012024","924.119934","388.836395","188.072449","973.936462","330.873810","278.335815","728.229187","258.546875","183.405670","853.601746","98.152107","288.656250","861.248901","81.594948","242.522171","895.916321","80.414185","254.404633","911.946655","52.890461","347.578003","1011.991882","1510.562988","346.965790","922.299683","1064.709839","341.890411","1139.462646","1435.218872","492.653442","1003.438110","1475.810547","408.041565","1046.659424","1612.607178","268.958313","1047.860474","1608.306885","408.444702","1158.073608","1686.523804","275.695099","1165.172485","1685.901733","536.018433","1084.296509","1473.421387","686.539368","1013.097778","1192.376343","644.107544","951.213745","1194.856689","596.121704","1095.625854","1334.325806","602.260010","964.540955","1310.917725","611.220703","1120.217529","1138.293945","508.064270","1168.899292","1100.292603","559.963684","1174.136719","1054.882568","482.724457","1215.194214","1026.765991","164.407455","1072.790894","1469.104492","78.140953","903.830261","1196.991577","151.788666","883.509338","1195.416870","97.689156","1011.221436","1320.545532","160.751160","910.439087","1303.885132","105.965958","1045.141479","1178.961060","188.986343","1135.995850","1186.968262","145.713638","1141.134399","1133.721069","173.883759","1219.053345","1179.212280",NA
"10","27","0","458.383789","1118.969482","957.335693","221.058456","1115.139038","938.782593","404.569672","893.054077","979.025696","289.691833","892.590027","969.014709","498.305298","1023.911743","1080.406250","182.263977","1017.276428","1050.445801","543.495117","1025.565796","892.746277","473.368896","1075.572632","479.932465",NA,NA,NA,"508.832947","1007.416260","662.590637","524.151245","1080.222900","675.282043","484.525635","1028.417603","554.066650","499.920105","1103.236938","564.844421","409.855713","1112.775269","386.102692","408.771515","877.549500","112.007202",NA,NA,NA,"463.221313","972.644348","402.633759","473.768890","1040.421997","359.542114","440.833191","921.249207","293.417358","452.743134","985.034851","256.140778","352.005219","788.712097","70.057861","437.337097","1003.072754","36.261303","322.756653","1007.850647","39.847923","377.044617","1038.546021","52.080334","355.390656","1073.087036","45.217926","147.979782","1031.666138","862.062866","186.900070","1153.826904","485.243164",NA,NA,NA,"140.075684","1115.279785","718.168335","172.700287","1172.394531","745.759827","158.232925","1150.058960","608.552124","190.160538","1207.682739","634.605957","244.520203","1152.216064","385.861053","224.159851","828.578186","235.996811",NA,NA,NA,"202.188583","1023.961792","465.747559","178.249084","1073.793091","406.367889","216.147568","932.064514","386.392212","188.662659","983.644897","329.613190","278.805389","739.557495","248.802948","183.165588","871.558594","94.389542","288.493896","880.092224","77.592430","242.297394","914.522461","77.973633","254.028824","931.333374","50.691330","348.108673","1012.094727","1512.172852","348.288086","921.023010","1066.095459","340.225067","1139.441650","1436.906006","493.300110","1004.917847","1477.655762","407.585052","1046.940796","1614.330322","268.086700","1047.943237","1610.310059","408.456482","1159.487305","1689.447510","275.031219","1164.888428","1687.677124","535.226501","1086.850464","1475.349121","687.405579","1017.646545","1194.597900","646.377380","955.075745","1197.645752","594.600708","1099.216187","1336.162842","605.423584","968.196350","1313.773682","610.228455","1123.203003","1140.301758","505.777069","1169.901123","1102.526733","557.566772","1176.147583","1057.151855","479.486908","1215.046387","1028.424316","163.640106","1068.984741","1470.785400","81.266457","895.523987","1200.282349","155.594391","877.536011","1199.149902","97.797218","1004.521851","1323.252197","164.156342","906.228455","1307.292603","105.683449","1036.876221","1180.635254","187.111237","1129.838379","1188.151978","143.629059","1133.788818","1135.185547","170.788727","1212.841187","1178.760132",NA
"11","28","0","457.999237","1119.962036","958.169128","220.118469","1113.916870","940.173584","405.442352","893.312866","981.743347","290.192871","891.830994","971.812317","498.506470","1026.362305","1081.158813","182.296921","1015.957703","1051.837402","543.056213","1024.704224","893.890625","473.421478","1065.750854","480.730927",NA,NA,NA,"508.517853","1002.717346","664.631653","524.035156","1075.535278","676.120850","484.147125","1021.914246","555.649475","498.619843","1096.828247","564.684204","409.764893","1103.029175","385.986298","409.056122","865.776489","113.230553",NA,NA,NA,"464.092651","962.156555","404.458984","473.576508","1030.594971","360.559479","440.867188","911.010559","295.228821","452.617126","973.543762","257.219757","352.499817","776.448059","72.642738","437.472198","990.458862","36.169296","322.845306","994.691101","39.667599","377.325226","1026.093262","52.070614","355.603119","1060.659424","45.869297","147.789261","1031.135376","863.691833","187.580231","1159.363403","489.160217",NA,NA,NA,"139.696655","1116.978882","721.519714","172.809433","1173.264038","749.789612","157.961243","1153.955933","612.961121","190.444733","1210.358521","639.417114","242.785385","1161.673950","390.697784","224.935440","841.076904","229.838974",NA,NA,NA,"203.081268","1029.416748","465.945923","179.656754","1080.647339","407.391022","214.933090","940.070374","382.992920","189.389038","993.299438","327.775818","279.199524","751.528870","238.972946","183.032700","889.751038","90.399544","288.457184","899.906555","74.350449","241.994141","933.469910","75.659737","253.675491","951.430725","48.979801","348.415833","1011.674255","1513.680664","349.272491","920.757568","1067.863525","338.583191","1139.438599","1438.818115","493.985931","1006.927856","1479.448608","407.119293","1047.110718","1615.885620","267.573395","1047.699951","1612.020508","407.775116","1159.482178","1691.497192","274.303833","1164.514404","1689.704712","534.468933","1089.594238","1477.468750","688.104431","1022.180908","1196.930664","648.486389","958.693176","1200.480469","592.890198","1102.630859","1338.084595","607.876770","971.904785","1316.805420","609.152466","1126.066895","1142.607544","503.596954","1170.822266","1105.028076","555.563171","1178.333130","1060.195801","476.360260","1214.884644","1030.246460","163.100296","1065.692017","1472.720459","84.150040","887.564148","1204.089233","158.827332","871.281616","1203.435059","97.847046","998.139160","1326.352539","167.548737","902.060425","1310.296143","105.645607","1028.972412","1182.908936","185.408432","1123.731689","1189.665894","141.922104","1126.294678","1136.690918","167.702332","1206.848755","1178.616699",NA
"12","29","0","458.963898","1121.244873","959.760925","219.241089","1112.841309","941.901245","407.329193","893.567932","984.421387","290.733734","890.696716","974.939941","498.959534","1028.634033","1082.391968","182.340073","1014.483826","1054.247681","543.149841","1024.140137","895.600708","473.320007","1055.937744","481.617554",NA,NA,NA,"507.649597","997.676941","666.564026","522.022400","1070.519043","676.558411","483.542480","1015.164978","557.289795","496.932007","1090.526367","564.288696","409.617340","1093.223389","386.198059","409.529144","853.655762","114.582207",NA,NA,NA,"463.750122","952.623901","405.702179","473.498688","1020.910950","361.447784","441.152435","899.431458","297.143555","452.985138","963.463867","258.700073","353.110687","764.258789","75.442657","437.502289","977.768555","35.879005","323.009766","981.929993","39.617088","376.497986","1013.136597","50.903538","355.684479","1047.737549","45.470036","147.687607","1030.383423","865.508545","188.484970","1164.644653","493.281738",NA,NA,NA,"139.451477","1118.338013","724.988953","172.733170","1174.163330","754.237854","157.984238","1157.280396","617.020386","190.956863","1212.888428","644.506042","243.376801","1169.514404","394.781342","225.723434","853.813477","223.669281",NA,NA,NA,"204.019684","1034.762329","465.921661","180.815048","1087.603394","409.217316","216.126663","948.038025","381.311676","190.824799","1002.626526","327.810364","280.029175","763.612183","228.769760","182.950363","908.389893","86.680504","288.741486","919.802063","70.841019","241.917084","952.703491","73.420502","253.660110","972.238281","47.814648","348.948547","1011.727905","1515.709961","350.718964","921.058960","1069.873413","337.033142","1139.134888","1440.833984","494.704773","1008.694519","1481.505371","406.259399","1046.994629","1617.940552","269.924591","1046.169556","1613.340942","407.040436","1159.533691","1693.665405","273.658661","1164.267334","1691.910156","533.670532","1091.791748","1479.483398","688.658569","1026.629150","1199.522339","650.559082","962.120300","1203.377808","591.063293","1105.900391","1340.057495","610.701599","975.598206","1320.118408","608.171021","1128.779297","1145.128906","501.528198","1171.555908","1107.731445","553.364319","1180.019043","1062.984497","473.353516","1214.686157","1032.460205","162.818649","1062.463867","1474.938477","86.765862","880.125671","1208.464966","161.944962","865.339417","1208.189575","97.788422","992.086182","1330.125488","170.558594","898.333069","1314.234619","105.753593","1021.411987","1185.810303","183.895172","1117.850830","1191.387451","140.246399","1118.976685","1138.605225","164.954330","1201.028931","1178.919800",NA
"13","30","0","457.634796","1120.327515","960.308533","218.474838","1111.792603","943.809143","407.862274","893.590637","987.239563","290.684265","889.767090","978.460327","499.053162","1032.144409","1084.230713","182.536758","1012.870789","1056.336304","542.876099","1023.634460","897.009094","472.986145","1046.136719","482.750916",NA,NA,NA,"507.831757","993.153748","669.022827","522.210327","1066.451538","677.324463","483.308655","1007.187622","560.151367","495.786224","1084.410645","564.858948","409.195435","1083.537964","386.755920","410.138947","842.304321","116.433517",NA,NA,NA,"463.388367","943.666321","407.127655","473.473175","1011.528381","362.798096","441.621124","889.445312","299.328705","453.156830","952.854980","260.149628","354.324738","752.597168","78.729187","438.155304","965.461548","36.183987","323.201172","969.198425","39.764122","377.343903","1000.657349","51.667786","355.744751","1034.912476","45.280415","147.348724","1029.901123","867.964966","189.168076","1169.915527","497.768127",NA,NA,NA,"139.184677","1119.747437","728.638672","172.727570","1175.026123","759.074402","160.072342","1159.271729","621.124390","191.326736","1215.294800","649.925354","244.171326","1176.717529","399.163300","226.366867","866.955017","217.269684",NA,NA,NA,"204.950638","1039.087769","465.636444","182.283600","1094.339233","411.271820","216.719269","955.571167","377.865387","190.865570","1012.689453","326.523804","281.047333","776.779358","218.072220","183.054092","927.358643","82.927307","288.607452","938.662842","66.413895","242.353165","972.464111","71.674110","253.586975","992.631775","46.577549","349.257812","1011.499512","1517.669922","352.198792","921.593262","1072.437134","335.590363","1139.213135","1443.301025","495.224304","1010.885376","1483.855957","406.027954","1047.221191","1619.631104","269.445221","1045.998779","1615.488647","406.330139","1159.298218","1695.731689","272.958954","1163.958618","1694.252319","532.729004","1094.141357","1481.707642","689.213745","1030.790405","1202.248657","652.137939","965.621948","1206.528564","589.187927","1108.649292","1341.968018","613.178223","979.095337","1323.667358","606.891724","1131.497192","1147.875732","499.621613","1172.482422","1110.755005","551.245422","1181.618896","1065.791016","470.497986","1214.554565","1034.951904","162.277802","1059.008057","1477.388428","89.198601","872.701599","1212.943359","164.798386","859.677734","1212.949341","98.058876","985.866211","1333.631958","173.316635","894.304626","1317.726074","105.839134","1014.044495","1188.893555","182.427643","1112.217651","1193.429443","138.642014","1111.803589","1140.822021","162.846680","1194.551880","1178.600952",NA
